@relation 'Polution-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,5-6,9-10'

@attribute DayWeek {Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday}
@attribute NO2 numeric
@attribute PM10 numeric
@attribute Temperature numeric
@attribute Polution {SO2,NO,NO2,O3,CO,PM10}
@attribute Place {Palau_Reial,Torrente_Gornal,Sants}
@attribute Grade {1,2,3}

@data
Thursday,40,26,9.8,NO2,Torrente_Gornal,2
Friday,43,36,12.8,PM10,Torrente_Gornal,2
Saturday,48,30,11.2,PM10,Torrente_Gornal,3
Sunday,23,16,9.7,NO2,Torrente_Gornal,3
Monday,43,22,12.4,NO2,Torrente_Gornal,2
Tuesday,34,26,13.8,NO2,Torrente_Gornal,3
Wednesday,34,18,11.9,NO2,Torrente_Gornal,2
Thursday,45,16,9.8,NO2,Torrente_Gornal,3
Friday,37,18,13.6,NO2,Torrente_Gornal,3
Saturday,34,17,16.3,NO2,Torrente_Gornal,3
Sunday,18,12,10.5,PM10,Torrente_Gornal,3
Monday,29,11,8.8,NO2,Torrente_Gornal,3
Tuesday,42,15,8.2,NO2,Torrente_Gornal,2
Wednesday,28,17,5.8,NO2,Torrente_Gornal,3
Thursday,38,19,6.8,NO2,Torrente_Gornal,2
Friday,54,23,9,NO2,Torrente_Gornal,2
Saturday,56,24,10.6,NO2,Torrente_Gornal,2
Sunday,37,23,14.1,NO2,Torrente_Gornal,3
Monday,69,69,14.4,PM10,Torrente_Gornal,1
Tuesday,49,108,12.6,PM10,Torrente_Gornal,1
Wednesday,40,42,12.4,NO2,Torrente_Gornal,2
Thursday,42,38,13,?,Torrente_Gornal,3
Friday,36,17,11,?,Torrente_Gornal,3
Saturday,21,13,7.8,NO2,Torrente_Gornal,3
Sunday,18,9,8.6,NO2,Torrente_Gornal,3
Monday,34,25,11.3,NO2,Torrente_Gornal,3
Tuesday,35,21,11.8,NO2,Torrente_Gornal,2
Wednesday,30,21,12.8,NO2,Torrente_Gornal,3
Thursday,22,13,11.3,PM10,Torrente_Gornal,3
Friday,28,19,11.2,NO2,Torrente_Gornal,3
Saturday,15,13,9.6,NO2,Torrente_Gornal,3
Sunday,16,11,8,NO2,Torrente_Gornal,3
Monday,26,13,9.6,NO2,Torrente_Gornal,3
Tuesday,27,16,8.6,NO2,Torrente_Gornal,3
Wednesday,42,15,5.9,NO2,Torrente_Gornal,3
Thursday,46,20,9.2,NO2,Torrente_Gornal,2
Friday,37,17,10.1,NO2,Torrente_Gornal,3
Saturday,36,18,9.8,NO2,Torrente_Gornal,2
Sunday,31,25,9.6,NO2,Torrente_Gornal,2
Monday,50,25,10.4,NO2,Torrente_Gornal,2
Tuesday,45,24,10.5,NO2,Torrente_Gornal,2
Wednesday,32,15,9,NO2,Torrente_Gornal,3
Thursday,46,12,7.4,NO2,Torrente_Gornal,2
Friday,46,19,9.2,NO2,Torrente_Gornal,3
Saturday,33,12,9.8,NO2,Torrente_Gornal,3
Sunday,24,11,11.2,NO2,Torrente_Gornal,3
Monday,47,17,11,NO2,Torrente_Gornal,2
Tuesday,41,19,13.2,NO2,Torrente_Gornal,2
Wednesday,30,18,11.8,NO2,Torrente_Gornal,3
Thursday,31,25,11.2,NO2,Torrente_Gornal,3
Friday,21,24,12.2,PM10,Torrente_Gornal,3
Saturday,19,22,13.8,PM10,Torrente_Gornal,3
Sunday,21,19,12.3,NO2,Torrente_Gornal,3
Monday,15,17,14,PM10,Torrente_Gornal,3
Tuesday,31,18,17.2,NO2,Torrente_Gornal,3
Wednesday,55,27,16.6,NO2,Torrente_Gornal,2
Thursday,35,32,15.3,PM10,Torrente_Gornal,3
Friday,36,15,8.4,NO2,Torrente_Gornal,3
Saturday,34,18,12.4,NO2,Torrente_Gornal,2
Sunday,27,19,12.5,NO2,Torrente_Gornal,3
Monday,30,23,12.6,NO2,Torrente_Gornal,3
Tuesday,36,18,12.4,NO2,Torrente_Gornal,3
Wednesday,40,17,15.1,NO2,Torrente_Gornal,3
